composer_name,title,song_length.bars,n_notes,rating,n_views,is_best_arrangement,metadata,mxl
W.A.Mozart,Menuett F-Dur (Komponiert 1762),33,176,0.0,167,False,./metadata/1/4788153.json,./mxl/1/33/Qmbn4TwvG9Gtj3SFox4wgLqvwxyeEoYC2JrYtgTrBkUeev.mxl
Comptine sur un air de Mozart by Didalter,Ah vous dirais-je Maman,16,44,0.0,166,False,./metadata/0/5107845.json,./mxl/17/37/QmZPArNmZjRmwFS6LAzQYEs1XjwQcgWkgM8A71471vbLXu.mxl
W.A.Mozart,Turkish March,171,2040,0.0,165,False,./metadata/7/4413596.json,./mxl/16/52/QmYxCawcKNtH6DMWrqY8DwPxGG2zSVp5636GfRbdjpj3Bg.mxl
L. Mozart,Burlesque - Eb Major,17,149,0.0,164,False,./metadata/8/1669441.json,./mxl/16/39/QmYQvZRyBi7LcsX6e33G1Wi1KLzX3QK8mkfavecn5QmXad.mxl
Wolfgang Amadeus Mozart,Sonata No. 16 K. 545 (1st movement),146,2616,0.0,162,False,./metadata/5/5935386.json,./mxl/7/4/QmP55pawcM5qcWCTqboms9ms8EgYK7NyX5TLN2mw7hdRFv.mxl
L. Mozart,Burlesque - F Major,17,149,0.0,161,False,./metadata/9/1669446.json,./mxl/14/5/QmW6oDJK2HWEMS3pbZWpWEYo9FHHwHwbBbGLwB873s3Fxe.mxl
Wolfgang Amadeus Mozart,Mozart: Klaviersonate KV 457 - 1 expozice,74,860,4.71,145,False,./metadata/0/6392836.json,./mxl/12/55/QmUYGzPTboDynCKq7fmtceLTFexZFHAvoZFwMbtA6ZYuAf.mxl
W. A. Mozart,W. A. Mozart Allegro in F Major K1c.,28,198,0.0,142,False,./metadata/3/5847362.json,./mxl/3/45/QmdTZbbMT8VGXoYtr8S8LCfqDpmCd6go7ydUsMVVTCjP6K.mxl
W. A. Mozart,Mozart's Twelve Variations on Ah vous dirai-je Maman K.265/300e,637,6268,0.0,139,False,./metadata/9/6281151.json,./mxl/17/49/QmZVQFm2Uk8r1SLDZSLrQwVBgKAjT1uEecBEu5JaiTS4G8.mxl
Wolfwang Amadeus Mozart,Mozart Sonata No. 16,439,7307,0.0,139,False,./metadata/9/5959617.json,./mxl/1/15/Qmbdw8eizXb9tc5HvoQkKgBeNqDWPgvLWcZuKu8coKyXJP.mxl
W.A. Mozart,W.A. Mozart - German Dance in F K. 15oo,40,250,0.0,138,False,./metadata/6/6240890.json,./mxl/0/25/QmaiVgdqQT1RDwu7TKW7LjmmA7fWJB5Ua2Y1fjDKAPHPjZ.mxl
W.A. Mozart,W.A. Mozart - Andantino in C K. 15b,48,548,0.0,135,False,./metadata/9/6204214.json,./mxl/3/33/QmdnQPtZH7qFdP6V42y16AGzuZpmsis99tgQjKaA4jd6Ke.mxl
