composer_name,title,song_length.bars,n_notes,rating,n_views,is_best_arrangement,metadata,mxl
Wolfgang Amadeus Mozart,Mozart - Piano Sonata No. 16 - Allegro,146,2566,4.81,161948,False,./metadata/8/539.json,./mxl/15/9/QmXaLndsVZvGL5n1saWern2cbW1Ze1kEKpeUofRBBmhT1D.mxl
Wolfgang Amadeus Mozart(1756-1791),Mozart: Minuet in F Major (K2) (easy),32,176,4.75,37088,False,./metadata/7/58882.json,./mxl/0/18/QmaENucP3iVPGGeUtgdj959VJEx116ke3SYH4X5s993nhN.mxl
W.A. Mozart,Piano Sonata No. 16 (K 545) Allegro by W.A. Mozart,146,2728,4.46,13179,False,./metadata/2/110272.json,./mxl/3/23/QmdhePFeDoAru2dQkCaFX2xZsR9Z3ag26Y8zL2pswPzDqq.mxl
W A Mozart,Polonaise W.A. Mozart,32,502,4.85,10094,True,./metadata/5/1226626.json,./mxl/4/3/Qme4on6zA599C2geDNg188XL745QLUyLZNQWuYNYvqVJn5.mxl
Wolfgang Amadeus Mozart (1756-1791),Mozart: Minuet in F (K. 2),32,176,4.69,7180,False,./metadata/0/2084571.json,./mxl/2/45/QmcTtaRJ7koYT6SdBGBdPE6pnBEQHgkvtHceStF7cGJeGr.mxl
Wolfgang Amadeus Mozart,Piano Sonata No 1 Mozart KV 279,734,10509,4.78,5157,False,./metadata/9/3192101.json,./mxl/10/54/QmSyodLkPUFGtnQwYZk41mHh3HkaLCbdceZ2LFKvvLXKBL.mxl
Wolfgang Amadeus Mozart eingerichtet von Carl Czerny,German Dance No.3 KV 605 - Piano Solo - Mozart,116,1206,4.77,4309,True,./metadata/4/2374551.json,./mxl/11/9/QmTadwBBLmyYgQMxzKLDKgZ9nuxexYioe9grhdjgp6oPfr.mxl
W. A. Mozart,Mozart Sonate No. 11 KV 331 Andante grazioso,36,480,4.72,3969,False,./metadata/9/445346.json,./mxl/1/37/QmbPit26hQ7TsjCqYvdibaGZJ3rBBf4TWk1uxWLguWpvW5.mxl
W. A. Mozart,Arie des Papageno,23,266,4.52,3241,True,./metadata/6/825076.json,./mxl/7/53/QmPXeDX6QxMNPHCNDoUGUkTYf5ZnHaBELsYHu1YyLfEk9Z.mxl
L. Mozart,Burlesque - G Major,17,149,4.64,3039,True,./metadata/1/1669456.json,./mxl/10/10/QmSAKUUM14Kdbhn8ZnsfvWjpoHGojgfpRLVPPUx9cfaTxa.mxl
W.A. Mozart,Thème du 1er mouvement de la sonate K.331,16,55,4.83,3024,True,./metadata/4/5744456.json,./mxl/4/42/QmeswnMFsq7kKrfJU2KHcucQ55D1psa3djU7BiYUptXPPR.mxl
Mozart,Mozart Sonata No.8 KV.310 1st,266,6552,4.74,2696,False,./metadata/5/5979450.json,./mxl/16/28/QmYkwGqdPV2gFv7GS3Lv59K6pvwbH7tzEbp2uPFvzBzFzz.mxl
W. A. Mozart,Mozart - Minuet & Trio - K. 1,81,611,4.79,2659,False,./metadata/5/309121.json,./mxl/5/14/QmfCULDvejZyShSRANTgFLGt4TudSaWNcuAfbV89RhdFPP.mxl
Wolfgang Amadeus Mozart (1756 - 1791),Wolfgang Amadeus Mozart - Morgen kommt der Weihnachtsmann,450,3773,4.83,2635,True,./metadata/5/82957.json,./mxl/3/40/QmdrhvsqisvZxSr1wEKJqZpYZYs1JpopTHz1Wp5WLoJ6BS.mxl
Wolfgang Amadeus Mozart,W.A. Mozart - Fantasia in C minor KV.475,21,465,4.26,2542,False,./metadata/7/3749231.json,./mxl/7/8/QmP9F78FRSdcpxrBdUuGazFJhpmWV1dtPstLZMnhpAgTYK.mxl
W. A. Mozart,W. A. Mozart Minuet in G Major K1e.,72,512,4.82,2352,True,./metadata/5/5847376.json,./mxl/10/43/QmSSZAHjALT7zf8hpZpLFXaBHB9ytuBETs4QbhvYDFSAaa.mxl
Wolfgang Amadeus Mozart(1756-1791),Mozart Fantasy in D minor K397,126,1654,4.8,2352,False,./metadata/1/5962353.json,./mxl/15/47/QmXUXkzJcmVDCpAi6QLW9PJGXT1yRFpF1CafihMAqWiMqN.mxl
W. A. MOZART,Mozart- Violin Sonata No. 21,382,3900,0.0,2347,False,./metadata/1/2562866.json,./mxl/17/22/QmZGoXQcWYmwLvBw7RpEuyYfCtSoHgpkUPqbv3Eax7GzoV.mxl
Wolfgang Amadeus Mozart,Komm lieber Mai,17,130,4.88,2300,True,./metadata/7/54670.json,./mxl/2/9/QmcanpWgvkPVJLshBC2JFT9byViifisDyi158smUGQogHX.mxl
W.A. Mozart,W.A. Mozart: Menuet,32,176,4.79,2180,True,./metadata/0/2932906.json,./mxl/17/10/QmZAwpKVi1GH5jQTXkgiM2G6DtS5GsAoDB6WuJY6MpmLhy.mxl
Mozart,Mozart Arioso,32,194,4.57,2098,True,./metadata/5/5905687.json,./mxl/5/16/QmfDwieqKs2FCDJtzbrpPEXet9pWk612ZiSJnc5hqDm6B9.mxl
Wolfgang Amadeus Mozart,MOZART: Piano Concerto No. 19 in F major - Allegro. More accurate reproduction than IMSLP!,420,3331,4.85,2041,False,./metadata/1/4324581.json,./mxl/3/12/QmdBayAzUNpzw9syByA9GSvde28NKCi5wcvoy3Whn2m3dX.mxl
W. A. Mozart,Andante,39,1040,4.88,2027,True,./metadata/4/5335663.json,./mxl/3/50/QmdwwENhYbjxxk4X7DjnVfwCDkfT8FJ6TC4yZtaomd3cZi.mxl
W.A Mozart,Sonata in C - Full First Movement,146,2568,0.0,2001,False,./metadata/8/1014626.json,./mxl/8/43/QmQScc9kDJNKYKz7dLayaiADCD2vsvKM1D91WBC8jpCry2.mxl
W. A. Mozart,Török induló,70,758,4.71,1594,False,./metadata/2/5301966.json,./mxl/7/39/QmPQMitaGzGvcaVjepEB42qdeo7ntvxkSt2Va2opYZrkU7.mxl
Wolfgang Amadeus Mozart(1756-1791),Mozart - Sonata in Bb K 570 Movement I,418,4004,4.82,1384,False,./metadata/6/6110797.json,./mxl/11/1/QmT2Fednhnpvwp5DLd9xYTLnufWm4AT1Aqk5BVn4kZuoXs.mxl
Mozart,Der HoÌlle Rache (Mozart) leadsheet incomplete...needs chordsymbols,99,376,0.0,1222,False,./metadata/5/872226.json,./mxl/15/50/QmXwyza3wyaSgAVb5ULfCHqzbZYX8hLrPJ9kBvQv1KwHjM.mxl
W. A. Mozart,Ah vous dirai-je maman Variation II,48,586,0.0,1186,False,./metadata/6/2540806.json,./mxl/14/24/QmWHFURe47esvLT4jWtt9i2nCgX2k6XVCpyjyNwcExVeXz.mxl
W.A. Mozart (1756 - 1791),W.A. Mozart Concerto No. 4 K41 - II Andante - Piano,62,738,0.0,1163,False,./metadata/7/3098386.json,./mxl/2/55/QmcYu7EmQocXgsmbzYXNuj928NRwYDhKCYoqkr7u1ALkvW.mxl
ARIEL 8.8.6.8.8.6.6. Arr. from Mozart by Lowell Mason 1836,Faith Reviving (From whence this fear and unbelief),20,224,0.0,1098,True,./metadata/8/40313.json,./mxl/4/16/QmeDNpk1SQzwnyFQZysSSRZ8nRKTn2yypqn9cfqRqWZm4G.mxl
W.A. Mozart,Allegro Molto in C Major - W.A. Mozart,169,2399,4.53,1038,False,./metadata/6/5912763.json,./mxl/8/53/QmQXVBQ8xdqEuUQqnamgZGtA7Z9N6qXQniVYRXmsPeQBme.mxl
W.A. MOZART,Viennese Sonatina No 5 in F Major I Adagio K 439b - Mozart,56,989,4.58,938,False,./metadata/3/2939111.json,./mxl/10/18/QmSErv1mWLxyVRv1k9sxx7YSVcLfk4DchyaJSawLJamv5m.mxl
Mozart,Mozart: Tuba Mirum,18,83,4.49,869,True,./metadata/4/4815430.json,./mxl/1/4/Qmb5A9LjUaLuQmCeHjqWDwhU5yLkV2C3pJ4UmK8b5FrG71.mxl
W. A. Mozart,W. A. Mozart Minuet in C Major K1f.,36,304,4.57,799,False,./metadata/6/5930179.json,./mxl/11/16/QmTDBFbPLYF24o8ihUjDJ5XUYpstJj2VexoBQovTLXXNsS.mxl
W. A. Mozart,W. A. Mozart Minuet in F Major K5.,32,300,4.84,711,True,./metadata/0/5931431.json,./mxl/12/19/QmUfTS6K5Js8oBzGHXSD3f8QqxKq2q7yJH5zxG5FzhiHEe.mxl
Wolfgang Amadeus Mozart,Musikalisches Würfelspiel K.516f,176,1442,4.66,679,False,./metadata/5/4054946.json,./mxl/13/22/QmVG74s7jJqPF6hpNVRL5cC1ZrTKHskVunsiYikJnKSj2j.mxl
Wolfgang Amedeus Mozart,Mozart Flute Quartet in D For Flute and Piano K285,154,2491,4.79,611,True,./metadata/3/5971389.json,./mxl/8/25/QmQi6RkK5b4Nxi8sQM9SMBqRBB4yr4Sgy7Vg2EV2azMtLA.mxl
W. A. Mozart,Mozart - Piano Sonata No. 18 in D: Allegro,221,2944,4.87,592,False,./metadata/6/5911438.json,./mxl/16/48/QmYvNjAjHkeqDfsVzeCM5QQy4sQJHpfqFDxcg4fpV4wqGr.mxl
Wolfgang Amadeus Mozart,Sonata no 16 in C Major,146,2576,4.89,567,False,./metadata/6/6112246.json,./mxl/4/5/Qme6WJRXUdZb9NiankZ4rKj5LAZ9DPiqzdKqqrk9HyghVL.mxl
W. A. MozartKV 576,Mozart - Piano Sonata No. 18 in D: Allegretto,189,2403,4.9,542,False,./metadata/8/5911457.json,./mxl/4/24/QmeHuDfTaHhXPjjr6F5cyx96o8icjuvQT8uLpFbhoC6iEQ.mxl
Wolfgang Amadeus Mozart,sonate mozart n7 C M,213,3291,4.66,517,False,./metadata/0/5835054.json,./mxl/16/53/QmYXmg2noErG2MJVfpi5ieyRwRp8qi8DJRiXwV9fmALqm4.mxl
